Comunidades;Anio;PIB;Gasto;Numero_Parados;Numero_habitantes;Tasa_Paro;Inferior_2_etapa_Secundaria;2_etapa_Secundaria;Educacion_Superior;Tipo_Delito;Numero_Delitos;Tasa_Delitos
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Otros delitos;213.0;0.017495
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Total;2536.0;0.208293
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Concurso de delitos;269.0;0.021868
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Contra el orden público;204.0;0.016584
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Contra el patrimonio y el orden socioeconomico;1155.0;0.093896
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Contra la Administración de Justicia;185.0;0.01504
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Contra la libertad;77.0;0.00626
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Contra la seguridad colectiva;994.0;0.080807
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Lesiones;331.0;0.026909
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Otros delitos;271.0;0.022031
Aragon;2003;19871.92;8021.36;36500;1230090.0;2.97;52.5;18.7;28.8;Total;3486.0;0.283394
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Concurso de delitos;186.0;0.014885
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Contra el orden público;198.0;0.015845
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Contra el patrimonio y el orden socioeconomico;871.0;0.069703
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Contra la Administración de Justicia;171.0;0.013685
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Contra la libertad;76.0;0.006082
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Contra la seguridad colectiva;575.0;0.046015
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Lesiones;548.0;0.043855
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Otros delitos;267.0;0.021367
Aragon;2004;20998.03;8804.26;32150;1249584.0;2.57;50.1;20.4;29.4;Total;2892.0;0.231437
