Tipo de delito;Sexo del infractor;Lugar de condena;Total
3. Lesiones;Mujer;Madrid (Comunidad de)(1);271
3. Lesiones;Mujer;Murcia (Región de);92
3. Lesiones;Mujer;Navarra (Comunidad Foral de);48
3. Lesiones;Mujer;País Vasco;163
3. Lesiones;Mujer;Rioja (La);21
3. Lesiones;Mujer;Ceuta;6
3. Lesiones;Mujer;Melilla;9
4. Lesiones al feto;Total;Total;35
4. Lesiones al feto;Total;Andalucía;0
4. Lesiones al feto;Total;Aragón;0
4. Lesiones al feto;Total;Asturias (Principado de);3
4. Lesiones al feto;Total;Balears (Illes);2
4. Lesiones al feto;Total;Canarias;1
4. Lesiones al feto;Total;Cantabria;1
4. Lesiones al feto;Total;Castilla y León;0
4. Lesiones al feto;Total;Castilla-La Mancha;0
4. Lesiones al feto;Total;Cataluña;6
4. Lesiones al feto;Total;Comunitat Valenciana;3
4. Lesiones al feto;Total;Extremadura;2
4. Lesiones al feto;Total;Galicia;3
4. Lesiones al feto;Total;Madrid (Comunidad de)(1);6
4. Lesiones al feto;Total;Murcia (Región de);6
4. Lesiones al feto;Total;Navarra (Comunidad Foral de);1
4. Lesiones al feto;Total;País Vasco;1
4. Lesiones al feto;Total;Rioja (La);0
4. Lesiones al feto;Total;Ceuta;0
4. Lesiones al feto;Total;Melilla;0
4. Lesiones al feto;Varón;Total;32
4. Lesiones al feto;Varón;Andalucía;0
4. Lesiones al feto;Varón;Aragón;0
4. Lesiones al feto;Varón;Asturias (Principado de);3
4. Lesiones al feto;Varón;Balears (Illes);2
4. Lesiones al feto;Varón;Canarias;1
4. Lesiones al feto;Varón;Cantabria;1
4. Lesiones al feto;Varón;Castilla y León;0
4. Lesiones al feto;Varón;Castilla-La Mancha;0
4. Lesiones al feto;Varón;Cataluña;4
4. Lesiones al feto;Varón;Comunitat Valenciana;3
4. Lesiones al feto;Varón;Extremadura;2
4. Lesiones al feto;Varón;Galicia;3
4. Lesiones al feto;Varón;Madrid (Comunidad de)(1);6
4. Lesiones al feto;Varón;Murcia (Región de);6
4. Lesiones al feto;Varón;Navarra (Comunidad Foral de);1
4. Lesiones al feto;Varón;País Vasco;0
4. Lesiones al feto;Varón;Rioja (La);0
4. Lesiones al feto;Varón;Ceuta;0
4. Lesiones al feto;Varón;Melilla;0
4. Lesiones al feto;Mujer;Total;3
4. Lesiones al feto;Mujer;Andalucía;0
4. Lesiones al feto;Mujer;Aragón;0
4. Lesiones al feto;Mujer;Asturias (Principado de);0
4. Lesiones al feto;Mujer;Balears (Illes);0
4. Lesiones al feto;Mujer;Canarias;0
4. Lesiones al feto;Mujer;Cantabria;0
4. Lesiones al feto;Mujer;Castilla y León;0
4. Lesiones al feto;Mujer;Castilla-La Mancha;0
4. Lesiones al feto;Mujer;Cataluña;2
4. Lesiones al feto;Mujer;Comunitat Valenciana;0
4. Lesiones al feto;Mujer;Extremadura;0
4. Lesiones al feto;Mujer;Galicia;0
4. Lesiones al feto;Mujer;Madrid (Comunidad de)(1);0
4. Lesiones al feto;Mujer;Murcia (Región de);0
4. Lesiones al feto;Mujer;Navarra (Comunidad Foral de);0
4. Lesiones al feto;Mujer;País Vasco;1
4. Lesiones al feto;Mujer;Rioja (La);0
4. Lesiones al feto;Mujer;Ceuta;0
4. Lesiones al feto;Mujer;Melilla;0
5. Manipulación genética;Total;Total;7
5. Manipulación genética;Total;Andalucía;1
5. Manipulación genética;Total;Aragón;0
5. Manipulación genética;Total;Asturias (Principado de);0
5. Manipulación genética;Total;Balears (Illes);1
5. Manipulación genética;Total;Canarias;1
5. Manipulación genética;Total;Cantabria;0
5. Manipulación genética;Total;Castilla y León;0
5. Manipulación genética;Total;Castilla-La Mancha;0
5. Manipulación genética;Total;Cataluña;1
5. Manipulación genética;Total;Comunitat Valenciana;0
5. Manipulación genética;Total;Extremadura;0
5. Manipulación genética;Total;Galicia;0
5. Manipulación genética;Total;Madrid (Comunidad de)(1);0
5. Manipulación genética;Total;Murcia (Región de);1
5. Manipulación genética;Total;Navarra (Comunidad Foral de);1
5. Manipulación genética;Total;País Vasco;1
5. Manipulación genética;Total;Rioja (La);0
5. Manipulación genética;Total;Ceuta;0
5. Manipulación genética;Total;Melilla;0
5. Manipulación genética;Varón;Total;6
5. Manipulación genética;Varón;Andalucía;1
5. Manipulación genética;Varón;Aragón;0
5. Manipulación genética;Varón;Asturias (Principado de);0
5. Manipulación genética;Varón;Balears (Illes);1
5. Manipulación genética;Varón;Canarias;1
5. Manipulación genética;Varón;Cantabria;0
5. Manipulación genética;Varón;Castilla y León;0
5. Manipulación genética;Varón;Castilla-La Mancha;0
5. Manipulación genética;Varón;Cataluña;1
5. Manipulación genética;Varón;Comunitat Valenciana;0
5. Manipulación genética;Varón;Extremadura;0
5. Manipulación genética;Varón;Galicia;0
5. Manipulación genética;Varón;Madrid (Comunidad de)(1);0
5. Manipulación genética;Varón;Murcia (Región de);1
5. Manipulación genética;Varón;Navarra (Comunidad Foral de);0
5. Manipulación genética;Varón;País Vasco;1
5. Manipulación genética;Varón;Rioja (La);0
5. Manipulación genética;Varón;Ceuta;0
5. Manipulación genética;Varón;Melilla;0
5. Manipulación genética;Mujer;Total;1
5. Manipulación genética;Mujer;Andalucía;0
5. Manipulación genética;Mujer;Aragón;0
5. Manipulación genética;Mujer;Asturias (Principado de);0
5. Manipulación genética;Mujer;Balears (Illes);0
5. Manipulación genética;Mujer;Canarias;0
5. Manipulación genética;Mujer;Cantabria;0
5. Manipulación genética;Mujer;Castilla y León;0
5. Manipulación genética;Mujer;Castilla-La Mancha;0
5. Manipulación genética;Mujer;Cataluña;0
5. Manipulación genética;Mujer;Comunitat Valenciana;0
5. Manipulación genética;Mujer;Extremadura;0
5. Manipulación genética;Mujer;Galicia;0
5. Manipulación genética;Mujer;Madrid (Comunidad de)(1);0
5. Manipulación genética;Mujer;Murcia (Región de);0
5. Manipulación genética;Mujer;Navarra (Comunidad Foral de);1
5. Manipulación genética;Mujer;País Vasco;0
5. Manipulación genética;Mujer;Rioja (La);0
5. Manipulación genética;Mujer;Ceuta;0
5. Manipulación genética;Mujer;Melilla;0
6. Contra la libertad;Total;Total;9.151
6. Contra la libertad;Total;Andalucía;2.213
6. Contra la libertad;Total;Aragón;251
6. Contra la libertad;Total;Asturias (Principado de);178
6. Contra la libertad;Total;Balears (Illes);441
6. Contra la libertad;Total;Canarias;559
6. Contra la libertad;Total;Cantabria;70
6. Contra la libertad;Total;Castilla y León;351
6. Contra la libertad;Total;Castilla-La Mancha;353
6. Contra la libertad;Total;Cataluña;1.244
6. Contra la libertad;Total;Comunitat Valenciana;1.081
6. Contra la libertad;Total;Extremadura;190
6. Contra la libertad;Total;Galicia;475
6. Contra la libertad;Total;Madrid (Comunidad de)(1);789
6. Contra la libertad;Total;Murcia (Región de);403
6. Contra la libertad;Total;Navarra (Comunidad Foral de);130
6. Contra la libertad;Total;País Vasco;330
6. Contra la libertad;Total;Rioja (La);64
6. Contra la libertad;Total;Ceuta;11
6. Contra la libertad;Total;Melilla;18
6. Contra la libertad;Varón;Total;8.888
6. Contra la libertad;Varón;Andalucía;2.158
6. Contra la libertad;Varón;Aragón;228
6. Contra la libertad;Varón;Asturias (Principado de);176
6. Contra la libertad;Varón;Balears (Illes);431
6. Contra la libertad;Varón;Canarias;552
6. Contra la libertad;Varón;Cantabria;65
6. Contra la libertad;Varón;Castilla y León;340
6. Contra la libertad;Varón;Castilla-La Mancha;345
6. Contra la libertad;Varón;Cataluña;1.206
6. Contra la libertad;Varón;Comunitat Valenciana;1.058
6. Contra la libertad;Varón;Extremadura;183
6. Contra la libertad;Varón;Galicia;461
6. Contra la libertad;Varón;Madrid (Comunidad de)(1);769
6. Contra la libertad;Varón;Murcia (Región de);389
6. Contra la libertad;Varón;Navarra (Comunidad Foral de);122
6. Contra la libertad;Varón;País Vasco;320
6. Contra la libertad;Varón;Rioja (La);59
6. Contra la libertad;Varón;Ceuta;11
6. Contra la libertad;Varón;Melilla;15
6. Contra la libertad;Mujer;Total;263
6. Contra la libertad;Mujer;Andalucía;55
6. Contra la libertad;Mujer;Aragón;23
6. Contra la libertad;Mujer;Asturias (Principado de);2
6. Contra la libertad;Mujer;Balears (Illes);10
6. Contra la libertad;Mujer;Canarias;7
6. Contra la libertad;Mujer;Cantabria;5
6. Contra la libertad;Mujer;Castilla y León;11
6. Contra la libertad;Mujer;Castilla-La Mancha;8
6. Contra la libertad;Mujer;Cataluña;38
6. Contra la libertad;Mujer;Comunitat Valenciana;23
6. Contra la libertad;Mujer;Extremadura;7
6. Contra la libertad;Mujer;Galicia;14
6. Contra la libertad;Mujer;Madrid (Comunidad de)(1);20
6. Contra la libertad;Mujer;Murcia (Región de);14
6. Contra la libertad;Mujer;Navarra (Comunidad Foral de);8
6. Contra la libertad;Mujer;País Vasco;10
6. Contra la libertad;Mujer;Rioja (La);5
6. Contra la libertad;Mujer;Ceuta;0
6. Contra la libertad;Mujer;Melilla;3
6.1. Detenciones ilegales y secuestro;Total;Total;421
6.1. Detenciones ilegales y secuestro;Total;Andalucía;70
6.1. Detenciones ilegales y secuestro;Total;Aragón;6
6.1. Detenciones ilegales y secuestro;Total;Asturias (Principado de);4
6.1. Detenciones ilegales y secuestro;Total;Balears (Illes);6
6.1. Detenciones ilegales y secuestro;Total;Canarias;52
6.1. Detenciones ilegales y secuestro;Total;Cantabria;1
6.1. Detenciones ilegales y secuestro;Total;Castilla y León;12
6.1. Detenciones ilegales y secuestro;Total;Castilla-La Mancha;13
6.1. Detenciones ilegales y secuestro;Total;Cataluña;39
6.1. Detenciones ilegales y secuestro;Total;Comunitat Valenciana;114
6.1. Detenciones ilegales y secuestro;Total;Extremadura;6
6.1. Detenciones ilegales y secuestro;Total;Galicia;14
6.1. Detenciones ilegales y secuestro;Total;Madrid (Comunidad de)(1);59
6.1. Detenciones ilegales y secuestro;Total;Murcia (Región de);10
6.1. Detenciones ilegales y secuestro;Total;Navarra (Comunidad Foral de);3
6.1. Detenciones ilegales y secuestro;Total;País Vasco;8
6.1. Detenciones ilegales y secuestro;Total;Rioja (La);3
6.1. Detenciones ilegales y secuestro;Total;Ceuta;0
6.1. Detenciones ilegales y secuestro;Total;Melilla;1
6.1. Detenciones ilegales y secuestro;Varón;Total;396
6.1. Detenciones ilegales y secuestro;Varón;Andalucía;68
6.1. Detenciones ilegales y secuestro;Varón;Aragón;4
6.1. Detenciones ilegales y secuestro;Varón;Asturias (Principado de);4
6.1. Detenciones ilegales y secuestro;Varón;Balears (Illes);6
6.1. Detenciones ilegales y secuestro;Varón;Canarias;52
