Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
01 Andalucía;Total;De 18 a 20 años;2016;4.738
01 Andalucía;Total;De 18 a 20 años;2015;3.834
01 Andalucía;Total;De 18 a 20 años;2014;3.735
01 Andalucía;Total;De 18 a 20 años;2013;3.957
01 Andalucía;Total;De 21 a 25 años;2019;7.137
01 Andalucía;Total;De 21 a 25 años;2018;8.016
01 Andalucía;Total;De 21 a 25 años;2017;7.990
01 Andalucía;Total;De 21 a 25 años;2016;7.860
01 Andalucía;Total;De 21 a 25 años;2015;7.040
01 Andalucía;Total;De 21 a 25 años;2014;6.804
01 Andalucía;Total;De 21 a 25 años;2013;7.228
01 Andalucía;Total;De 26 a 30 años;2019;7.679
01 Andalucía;Total;De 26 a 30 años;2018;8.145
01 Andalucía;Total;De 26 a 30 años;2017;8.085
01 Andalucía;Total;De 26 a 30 años;2016;7.987
01 Andalucía;Total;De 26 a 30 años;2015;6.599
01 Andalucía;Total;De 26 a 30 años;2014;6.508
01 Andalucía;Total;De 26 a 30 años;2013;7.094
01 Andalucía;Total;De 31 a 35 años;2019;7.878
01 Andalucía;Total;De 31 a 35 años;2018;8.155
01 Andalucía;Total;De 31 a 35 años;2017;8.146
01 Andalucía;Total;De 31 a 35 años;2016;7.753
01 Andalucía;Total;De 31 a 35 años;2015;6.507
01 Andalucía;Total;De 31 a 35 años;2014;6.650
01 Andalucía;Total;De 31 a 35 años;2013;6.795
01 Andalucía;Total;De 36 a 40 años;2019;7.695
01 Andalucía;Total;De 36 a 40 años;2018;7.875
01 Andalucía;Total;De 36 a 40 años;2017;7.635
01 Andalucía;Total;De 36 a 40 años;2016;7.191
01 Andalucía;Total;De 36 a 40 años;2015;6.011
01 Andalucía;Total;De 36 a 40 años;2014;5.772
01 Andalucía;Total;De 36 a 40 años;2013;5.956
01 Andalucía;Total;De 41 a 50 años;2019;11.702
01 Andalucía;Total;De 41 a 50 años;2018;11.814
01 Andalucía;Total;De 41 a 50 años;2017;11.320
01 Andalucía;Total;De 41 a 50 años;2016;10.670
01 Andalucía;Total;De 41 a 50 años;2015;8.729
01 Andalucía;Total;De 41 a 50 años;2014;8.449
01 Andalucía;Total;De 41 a 50 años;2013;8.446
01 Andalucía;Total;De 51 a 60 años;2019;5.872
01 Andalucía;Total;De 51 a 60 años;2018;5.792
01 Andalucía;Total;De 51 a 60 años;2017;5.418
01 Andalucía;Total;De 51 a 60 años;2016;4.995
01 Andalucía;Total;De 51 a 60 años;2015;3.791
01 Andalucía;Total;De 51 a 60 años;2014;3.442
01 Andalucía;Total;De 51 a 60 años;2013;3.367
01 Andalucía;Total;De 61 a 70 años;2019;1.977
01 Andalucía;Total;De 61 a 70 años;2018;1.785
01 Andalucía;Total;De 61 a 70 años;2017;1.710
01 Andalucía;Total;De 61 a 70 años;2016;1.528
01 Andalucía;Total;De 61 a 70 años;2015;1.052
01 Andalucía;Total;De 61 a 70 años;2014;953
01 Andalucía;Total;De 61 a 70 años;2013;950
01 Andalucía;Total;71 y más años;2019;608
01 Andalucía;Total;71 y más años;2018;572
01 Andalucía;Total;71 y más años;2017;532
01 Andalucía;Total;71 y más años;2016;452
01 Andalucía;Total;71 y más años;2015;288
01 Andalucía;Total;71 y más años;2014;251
01 Andalucía;Total;71 y más años;2013;240
01 Andalucía;Hombres;Total ;2019;43.624
01 Andalucía;Hombres;Total ;2018;44.819
01 Andalucía;Hombres;Total ;2017;44.030
01 Andalucía;Hombres;Total ;2016;43.106
01 Andalucía;Hombres;Total ;2015;37.613
01 Andalucía;Hombres;Total ;2014;37.234
01 Andalucía;Hombres;Total ;2013;38.902
01 Andalucía;Hombres;De 18 a 20 años;2019;3.333
01 Andalucía;Hombres;De 18 a 20 años;2018;3.610
01 Andalucía;Hombres;De 18 a 20 años;2017;3.717
01 Andalucía;Hombres;De 18 a 20 años;2016;3.761
01 Andalucía;Hombres;De 18 a 20 años;2015;3.254
01 Andalucía;Hombres;De 18 a 20 años;2014;3.263
01 Andalucía;Hombres;De 18 a 20 años;2013;3.481
01 Andalucía;Hombres;De 21 a 25 años;2019;5.557
01 Andalucía;Hombres;De 21 a 25 años;2018;6.201
01 Andalucía;Hombres;De 21 a 25 años;2017;6.183
01 Andalucía;Hombres;De 21 a 25 años;2016;6.183
01 Andalucía;Hombres;De 21 a 25 años;2015;5.948
01 Andalucía;Hombres;De 21 a 25 años;2014;5.794
01 Andalucía;Hombres;De 21 a 25 años;2013;6.307
01 Andalucía;Hombres;De 26 a 30 años;2019;6.115
01 Andalucía;Hombres;De 26 a 30 años;2018;6.380
01 Andalucía;Hombres;De 26 a 30 años;2017;6.366
01 Andalucía;Hombres;De 26 a 30 años;2016;6.450
01 Andalucía;Hombres;De 26 a 30 años;2015;5.626
01 Andalucía;Hombres;De 26 a 30 años;2014;5.653
01 Andalucía;Hombres;De 26 a 30 años;2013;6.212
01 Andalucía;Hombres;De 31 a 35 años;2019;6.256
01 Andalucía;Hombres;De 31 a 35 años;2018;6.430
01 Andalucía;Hombres;De 31 a 35 años;2017;6.423
01 Andalucía;Hombres;De 31 a 35 años;2016;6.290
